Record ID,Shipment ID,Shipdate,Vendor ID,O_COUNTRY,ORIG,ORIG_ZIP,D_COUNTRY,DEST,DEST_ZIP,Equipment Type,Cost,Weight,Mileage
9454,P2914,10/3/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,11,0,0
9455,P2914,10/3/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,11,0,0
9456,P2929,10/9/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,268,0,14
9457,4263,1/16/2020,21,MX,APODACA,66600,MX,LOS FRESNOS,4650,DV,0,0,0
9458,P2957,10/14/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,268,0,14
9459,P2992,10/23/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,134,0,14
9460,P2943,10/9/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,33,0,0
9461,P2913,10/3/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,77,0,14
9462,P2916,10/3/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,268,0,14
9463,P2934,10/9/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,268,0,14
9464,P2945,10/9/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,14,0,14
9465,P2945,10/9/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,14,0,0
9466,P2949,10/14/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,134,0,14
9467,P2951,10/14/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,134,0,14
9468,P2967,10/15/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9469,P2970,10/15/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,6,0,0
9470,P2970,10/15/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,1,0,0
9471,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,9,0,0
9472,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9473,P2945,10/9/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,5,0,0
9474,P2967,10/15/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,7,0,0
9475,P2967,10/15/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,5,0,0
9476,P2967,10/15/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9477,P2970,10/15/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,13,0,14
9478,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,3,0,0
9479,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,7,0,0
9480,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9481,P2994,10/23/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,268,0,14
9482,11251,2/14/2020,70,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,FB,555,10203,131
9483,11252,2/10/2020,70,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,FB,555,10200,131
9484,11253,2/10/2020,70,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,FB,555,10203,131
9485,A3249,2/28/2020,16,MX,NL APODACA,66600,MX,NA MEZCALES,63738,DV,976,1,672
9486,A3467,2/28/2020,16,MX,NL SAN PEDRO,66278,MX,NL MONTERREY,64700,DV,105,1,85
9487,134792,10/25/2019,22,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,FB,181,1,131
9488,134793,10/25/2019,22,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,DV,46,1,131
9489,3450,3/18/2020,59,MX,TM NUEVO LAREDO,88060,MX,CI CIUDAD JUAREZ,32360,FB,1734,1,598
9490,134793,10/25/2019,22,MX,NUEVO LAREDO,88060,MX,APODACA,66600,DV,33,0,0
9491,134796,10/23/2019,22,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,DV,353,1,131
9492,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,3,0,0
9493,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9494,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9495,P2993,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9496,P2999,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,3,0,0
9497,4286,1/28/2020,21,MX,NL APODACA,66600,MX,NL MONTERREY,64102,DV,84,1,18
9498,FAC5727,1/7/2020,28,MX,NL APODACA,66600,MX,NL SAN PEDRO,66269,DV,56,1,82
9499,134792,10/25/2019,22,MX,NUEVO LAREDO,88060,MX,APODACA,66600,FB,181,0,0
9500,134793,10/25/2019,22,MX,NUEVO LAREDO,88060,MX,APODACA,66600,DV,7,0,0
9501,134793,10/25/2019,22,MX,NUEVO LAREDO,88060,MX,APODACA,66600,DV,20,0,0
9502,3449,3/12/2020,59,MX,NUEVO LAREDO,88060,MX,CIUDAD JUAREZ,32360,FB,0,0,0
